Date,Time,Reading Index,Movement Value
1,2015-02-06,19:43:53.910814,22
2,2015-02-06,19:43:54.212263,74
3,2015-02-06,19:43:54.512452,105
4,2015-02-06,19:43:54.812711,161
5,2015-02-06,19:43:55.112784,117
6,2015-02-06,19:43:55.412597,1
7,2015-02-06,19:43:55.712623,1
8,2015-02-06,19:43:56.013112,1
9,2015-02-06,19:43:56.311689,1
10,2015-02-06,19:43:56.612265,0
11,2015-02-06,19:43:56.912010,1
12,2015-02-06,19:43:57.212384,1
13,2015-02-06,19:43:57.512349,2
14,2015-02-06,19:43:57.813651,0
15,2015-02-06,19:43:58.113846,2
16,2015-02-06,19:43:58.414006,0
17,2015-02-06,19:43:58.713002,1
18,2015-02-06,19:43:59.013499,0
19,2015-02-06,19:43:59.313256,0
20,2015-02-06,19:43:59.613523,2
21,2015-02-06,19:43:59.913560,2
22,2015-02-06,19:44:00.213771,0
23,2015-02-06,19:44:00.513900,0
24,2015-02-06,19:44:00.814159,1
25,2015-02-06,19:44:01.114227,0
26,2015-02-06,19:44:01.414396,1
27,2015-02-06,19:44:01.714664,0
28,2015-02-06,19:44:02.014730,0
29,2015-02-06,19:44:02.314983,0
30,2015-02-06,19:44:02.615080,1
31,2015-02-06,19:44:02.915329,2
32,2015-02-06,19:44:03.215391,0
33,2015-02-06,19:44:03.515683,2
34,2015-02-06,19:44:03.815720,0
35,2015-02-06,19:44:04.114666,1
36,2015-02-06,19:44:04.414843,1
37,2015-02-06,19:44:04.716268,2
38,2015-02-06,19:44:05.016396,1
39,2015-02-06,19:44:05.316836,2
40,2015-02-06,19:44:05.616813,0
41,2015-02-06,19:44:05.917007,1
42,2015-02-06,19:44:06.217069,0
43,2015-02-06,19:44:06.516107,1
44,2015-02-06,19:44:06.816150,0
45,2015-02-06,19:44:07.116401,1
46,2015-02-06,19:44:07.416499,1
47,2015-02-06,19:44:07.716751,0
48,2015-02-06,19:44:08.016824,0
49,2015-02-06,19:44:08.318344,0
50,2015-02-06,19:44:08.618394,0
51,2015-02-06,19:44:08.917419,1
52,2015-02-06,19:44:09.217559,0
53,2015-02-06,19:44:09.517841,1
54,2015-02-06,19:44:09.817826,1
55,2015-02-06,19:44:10.118000,0
56,2015-02-06,19:44:10.418171,0
57,2015-02-06,19:44:10.718394,0
58,2015-02-06,19:44:11.018477,1
59,2015-02-06,19:44:11.318741,0
60,2015-02-06,19:44:11.618823,0
61,2015-02-06,19:44:11.919333,0
62,2015-02-06,19:44:12.219150,1
63,2015-02-06,19:44:12.519408,0
64,2015-02-06,19:44:12.819475,0
65,2015-02-06,19:44:13.119663,1
66,2015-02-06,19:44:13.420188,1
67,2015-02-06,19:44:13.720091,1
68,2015-02-06,19:44:14.020482,0
69,2015-02-06,19:44:14.319280,0
70,2015-02-06,19:44:14.619234,0
71,2015-02-06,19:44:14.919620,1
72,2015-02-06,19:44:15.219542,1
73,2015-02-06,19:44:15.521114,0
74,2015-02-06,19:44:15.821583,0
75,2015-02-06,19:44:16.121660,0
76,2015-02-06,19:44:16.421861,1
77,2015-02-06,19:44:16.720493,1
78,2015-02-06,19:44:17.020896,1
79,2015-02-06,19:44:17.320829,3
